Charger Type,Charging End Time,Charging Start Time,City,Installation Date,Month,Operational Status,Payment Mode,Session ID,Station ID,Total Sessions,User ID,Vehicle Type,Average Energy Per Session,Billed Amount INR,Charging Duration min,Energy Delivered kWh,Latitude,Longitude,No of Ports,Power Rating kW,Year
AC Slow,31-07-2022 21:17,31-07-2022 20:25,Delhi,07-06-2021,July,Inactive,Wallet,SESS0179,STN118,SESS0179,USR7868,2W,159.59,1252.02,52,159.59,18.141063,77.2598,2,3.3,2022
DC Fast,21-09-2022 18:44,21-09-2022 18:10,Mumbai,19-06-2023,September,Inactive,Credit Card,SESS0100,STN193,SESS0100,USR3265,Bus,137.79,733.98,34,137.79,18.671077,74.699024,5,3.3,2022
AC Fast,16-01-2022 09:22,16-01-2022 08:08,Pune,30-08-2021,January,Active,Credit Card,SESS0264,STN188,SESS0264,USR8750,4W,203.45,1031.6,74,203.45,17.800767,73.619519,3,50,2022
DC Fast,02-05-2022 07:19,02-05-2022 05:39,Bangalore,05-10-2022,May,Active,UPI,SESS0053,STN139,SESS0053,USR9820,Bus,270.66,2702.62,100,270.66,18.218349,74.932914,3,120,2022
DC Fast,30-09-2022 09:33,30-09-2022 07:53,Delhi,09-09-2021,September,Inactive,UPI,SESS0091,STN198,SESS0091,USR4602,4W,194.43,1343.83,100,194.43,18.423421,74.342228,6,15,2022
DC Fast,01-12-2022 01:10,30-11-2022 22:12,Delhi,03-05-2022,November,Active,Net Banking,SESS0030,STN122,SESS0030,USR9223,3W,171.91,1258.57,178,171.91,17.477148,77.325061,6,15,2022
DC Fast,30-09-2022 20:20,30-09-2022 18:25,Hyderabad,20-06-2023,September,Active,UPI,SESS0212,STN181,SESS0212,USR3478,Bus,219.61,1593.75,115,219.61,18.140245,73.424125,6,7.4,2022
AC Slow,23-11-2022 17:42,23-11-2022 14:56,Pune,08-02-2023,November,Inactive,UPI,SESS0211,STN122,SESS0211,USR1609,3W,150.19,1187.55,166,150.19,17.636847,74.056576,2,15,2022
DC Fast,27-05-2022 14:57,27-05-2022 13:14,Hyderabad,26-05-2023,May,Active,Credit Card,SESS0275,STN109,SESS0275,USR8866,3W,38.64,386.42,103,38.64,17.174163,77.52004,5,120,2022
DC Fast,08-09-2022 19:21,08-09-2022 16:24,Hyderabad,18-08-2023,September,Active,Wallet,SESS0181,STN140,SESS0181,USR4573,2W,160.18,1169.3,177,160.18,17.607438,72.546434,5,7.4,2022
AC Fast,10-09-2022 22:11,10-09-2022 19:19,Pune,09-05-2023,September,Inactive,Net Banking,SESS0258,STN116,SESS0258,USR6569,4W,117.21,698.29,172,117.21,17.545155,72.383227,2,120,2022
AC Slow,23-12-2022 02:31,23-12-2022 00:39,Hyderabad,15-04-2023,December,Inactive,Wallet,SESS0071,STN191,SESS0071,USR1556,Bus,157.66,1646.03,112,157.66,17.15818,72.894879,4,3.3,2022
AC Fast,07-09-2022 22:54,07-09-2022 21:40,Hyderabad,22-07-2022,September,Active,Credit Card,SESS0069,STN167,SESS0069,USR5063,Bus,231.37,1116.08,74,231.37,17.132885,76.122406,4,15,2022
AC Slow,28-01-2022 07:04,28-01-2022 04:42,Pune,14-08-2022,January,Inactive,UPI,SESS0214,STN165,SESS0214,USR1242,Bus,180.01,1083.91,142,180.01,17.484479,75.957186,4,50,2022
AC Fast,21-08-2022 06:37,21-08-2022 03:54,Bangalore,15-02-2022,August,Active,UPI,SESS0232,STN134,SESS0232,USR7101,Bus,209.6,2089.22,163,209.6,18.566139,73.676062,5,120,2022
DC Fast,03-06-2022 21:38,03-06-2022 18:51,Pune,10-07-2021,June,Active,Credit Card,SESS0265,STN129,SESS0265,USR5971,4W,181.43,1713.54,167,181.43,18.156691,72.108162,2,50,2022
DC Fast,28-02-2022 14:34,28-02-2022 12:14,Hyderabad,29-11-2022,February,Inactive,Credit Card,SESS0259,STN156,SESS0259,USR6016,Bus,66.52,687.26,140,66.52,17.810511,75.476951,6,50,2022
AC Fast,23-02-2022 10:33,23-02-2022 09:34,Hyderabad,06-11-2021,February,Active,Wallet,SESS0250,STN126,SESS0250,USR5357,Bus,92.61,559.35,59,92.61,17.730092,76.390867,3,50,2022
AC Fast,27-06-2022 04:15,27-06-2022 01:53,Mumbai,23-06-2023,June,Inactive,Net Banking,SESS0132,STN191,SESS0132,USR9171,4W,15.5,175.17,142,15.5,17.365776,77.635422,3,3.3,2022
AC Fast,20-05-2022 15:48,20-05-2022 13:09,Pune,11-05-2023,May,Active,UPI,SESS0167,STN130,SESS0167,USR5830,4W,5.61,52.83,159,5.61,17.72098,77.98651,3,3.3,2022
DC Fast,28-09-2022 19:19,28-09-2022 17:23,Mumbai,28-09-2023,September,Active,Net Banking,SESS0036,STN121,SESS0036,USR5768,Bus,185.64,1587.93,116,185.64,18.15217,74.671686,5,3.3,2022
DC Fast,20-06-2022 23:58,20-06-2022 21:23,Pune,17-05-2023,June,Active,UPI,SESS0238,STN121,SESS0238,USR8998,2W,108.05,541.45,155,108.05,18.041737,74.335423,6,120,2022
DC Fast,20-02-2022 22:51,20-02-2022 21:30,Delhi,07-02-2022,February,Inactive,UPI,SESS0191,STN156,SESS0191,USR2992,4W,226.5,2377.91,81,226.5,18.654163,73.243368,2,50,2022
AC Slow,02-07-2022 11:07,02-07-2022 08:21,Hyderabad,21-05-2023,July,Active,Credit Card,SESS0096,STN185,SESS0096,USR5992,2W,31.06,314.68,166,31.06,17.900295,73.290872,3,50,2022
AC Fast,02-10-2022 11:16,02-10-2022 08:47,Bangalore,23-04-2022,October,Inactive,Net Banking,SESS0009,STN144,SESS0009,USR3783,2W,194.63,994.43,149,194.63,18.157048,76.621195,3,120,2022
AC Slow,24-02-2022 20:40,24-02-2022 19:01,Delhi,21-10-2022,February,Active,UPI,SESS0218,STN178,SESS0218,USR8797,2W,82.48,779.24,99,82.48,18.117868,74.339704,6,7.4,2022
AC Fast,30-12-2022 06:04,30-12-2022 05:16,Delhi,09-07-2022,December,Active,Net Banking,SESS0073,STN117,SESS0073,USR1012,Bus,90.89,763.42,48,90.89,18.320395,77.879551,2,3.3,2022
DC Fast,29-09-2022 18:55,29-09-2022 18:11,Mumbai,05-07-2021,September,Inactive,Net Banking,SESS0169,STN186,SESS0169,USR9215,2W,77.67,886.93,44,77.67,18.562903,76.053815,3,120,2022
AC Slow,03-06-2022 07:40,03-06-2022 05:46,Pune,12-01-2022,June,Inactive,Wallet,SESS0215,STN129,SESS0215,USR6151,Bus,44.97,198.51,114,44.97,17.700066,74.629885,6,50,2022
AC Slow,01-06-2022 15:59,01-06-2022 14:19,Bangalore,04-07-2021,June,Active,UPI,SESS0156,STN165,SESS0156,USR7198,4W,49,375.24,100,49,17.404517,77.311609,2,7.4,2022
AC Slow,12-05-2022 18:44,12-05-2022 17:54,Pune,14-05-2021,May,Inactive,Wallet,SESS0041,STN158,SESS0041,USR6642,Bus,268.01,1706.37,50,268.01,17.592908,73.266921,5,120,2022
AC Slow,18-06-2022 04:40,18-06-2022 01:51,Pune,08-02-2023,June,Inactive,UPI,SESS0211,STN122,SESS0211,USR1609,3W,194.25,1319.89,169,194.25,17.636847,74.056576,2,15,2022
AC Slow,30-04-2022 18:20,30-04-2022 17:40,Mumbai,22-06-2021,April,Active,Credit Card,SESS0079,STN198,SESS0079,USR2397,Bus,278.02,3124.95,40,278.02,17.018817,76.403458,6,15,2022
DC Fast,09-07-2022 01:48,08-07-2022 23:12,Mumbai,31-12-2022,July,Inactive,UPI,SESS0198,STN155,SESS0198,USR1714,4W,141.83,888.61,156,141.83,17.247183,72.83256,5,3.3,2022
DC Fast,27-11-2022 23:20,27-11-2022 20:51,Mumbai,11-07-2023,November,Inactive,Wallet,SESS0097,STN115,SESS0097,USR9778,4W,297.42,3152,149,297.42,17.959529,77.667233,6,15,2022
DC Fast,23-06-2022 15:11,23-06-2022 12:28,Bangalore,26-02-2021,June,Active,Net Banking,SESS0048,STN122,SESS0048,USR8170,3W,41.57,325.31,163,41.57,18.372992,74.593532,3,7.4,2022
AC Fast,18-02-2022 13:49,18-02-2022 12:06,Mumbai,04-02-2021,February,Inactive,Wallet,SESS0180,STN188,SESS0180,USR2349,Bus,291.15,2700.19,103,291.15,17.367354,73.140481,2,50,2022
DC Fast,02-11-2022 07:37,02-11-2022 04:41,Hyderabad,15-12-2022,November,Active,Credit Card,SESS0157,STN117,SESS0157,USR4716,3W,113.05,1303.15,176,113.05,17.70102,77.055793,4,3.3,2022
AC Slow,05-07-2022 18:03,05-07-2022 15:38,Mumbai,11-01-2022,July,Active,Wallet,SESS0042,STN154,SESS0042,USR4155,Bus,142.71,636.93,145,142.71,17.862485,75.158976,6,3.3,2022
AC Slow,12-11-2022 19:54,12-11-2022 19:21,Pune,30-07-2023,November,Inactive,Wallet,SESS0124,STN106,SESS0124,USR2205,Bus,191.58,1984.76,33,191.58,17.440362,74.920821,6,15,2022
AC Slow,07-12-2022 15:47,07-12-2022 14:40,Mumbai,21-12-2021,December,Active,Net Banking,SESS0256,STN119,SESS0256,USR1293,3W,149.06,1303.59,67,149.06,17.822821,77.415317,5,3.3,2022
DC Fast,31-03-2022 22:54,31-03-2022 21:05,Hyderabad,18-08-2023,March,Active,Wallet,SESS0181,STN140,SESS0181,USR4573,2W,43,511.69,109,43,17.607438,72.546434,5,7.4,2022
AC Fast,11-10-2022 09:52,11-10-2022 09:21,Delhi,09-07-2022,October,Active,Net Banking,SESS0073,STN117,SESS0073,USR1012,Bus,184.83,1677.25,31,184.83,18.320395,77.879551,2,3.3,2022
AC Fast,07-06-2022 10:19,07-06-2022 08:44,Bangalore,15-02-2022,June,Active,UPI,SESS0232,STN134,SESS0232,USR7101,Bus,273.93,1221.62,95,273.93,18.566139,73.676062,5,120,2022
AC Slow,18-09-2022 14:51,18-09-2022 13:53,Mumbai,06-01-2022,September,Active,Wallet,SESS0158,STN169,SESS0158,USR7723,4W,40.8,364.4,58,40.8,18.026879,77.883503,4,7.4,2022
AC Fast,09-12-2022 23:08,09-12-2022 20:40,Hyderabad,16-03-2021,December,Active,Credit Card,SESS0049,STN186,SESS0049,USR1580,3W,17.17,176.47,148,17.17,17.399416,75.458083,3,3.3,2022
AC Slow,15-04-2022 22:03,15-04-2022 20:48,Bangalore,23-08-2021,April,Inactive,Net Banking,SESS0297,STN135,SESS0297,USR6681,2W,45.96,263.73,75,45.96,18.244159,75.00692,5,3.3,2022
AC Slow,13-11-2022 12:53,13-11-2022 11:58,Delhi,21-10-2022,November,Active,UPI,SESS0218,STN178,SESS0218,USR8797,2W,232.31,1393.54,55,232.31,18.117868,74.339704,6,7.4,2022
AC Slow,23-11-2022 02:14,23-11-2022 00:58,Pune,30-07-2023,November,Inactive,Wallet,SESS0124,STN106,SESS0124,USR2205,Bus,109.4,1290.2,76,109.4,17.440362,74.920821,6,15,2022
AC Slow,26-04-2022 05:00,26-04-2022 02:03,Pune,11-09-2021,April,Active,Net Banking,SESS0189,STN166,SESS0189,USR1997,Bus,221.91,1347.79,177,221.91,17.835739,75.324408,5,120,2022
DC Fast,24-02-2022 19:03,24-02-2022 17:07,Mumbai,20-02-2023,February,Active,Wallet,SESS0267,STN127,SESS0267,USR1178,2W,102.22,424.48,116,102.22,18.671011,72.403356,5,15,2022
AC Fast,30-12-2022 08:50,30-12-2022 08:04,Pune,07-01-2022,December,Active,Credit Card,SESS0008,STN189,SESS0008,USR8266,3W,169.41,1772.55,46,169.41,18.572832,75.665661,6,15,2022
AC Slow,16-07-2022 17:40,16-07-2022 16:37,Bangalore,21-04-2023,July,Inactive,Wallet,SESS0141,STN181,SESS0141,USR9390,3W,56.38,228.99,63,56.38,17.781748,74.841742,3,3.3,2022
DC Fast,23-06-2022 21:43,23-06-2022 19:28,Pune,12-09-2023,June,Inactive,Wallet,SESS0227,STN195,SESS0227,USR8983,Bus,294.8,1568.91,135,294.8,18.684506,75.871074,6,15,2022
AC Slow,21-06-2022 10:00,21-06-2022 07:41,Mumbai,19-08-2022,June,Inactive,Credit Card,SESS0074,STN128,SESS0074,USR3941,Bus,117.76,873.68,139,117.76,18.212123,76.202343,2,3.3,2022
AC Fast,30-03-2022 19:37,30-03-2022 18:14,Bangalore,16-01-2023,March,Active,Wallet,SESS0012,STN139,SESS0012,USR2274,Bus,115.01,1170.74,83,115.01,18.875948,75.827114,5,50,2022
AC Fast,17-01-2022 13:06,17-01-2022 11:30,Pune,28-06-2022,January,Active,Wallet,SESS0271,STN153,SESS0271,USR7559,4W,109.81,572.43,96,109.81,17.830854,76.84731,3,7.4,2022
AC Slow,18-04-2022 13:06,18-04-2022 11:27,Delhi,06-01-2022,April,Inactive,Wallet,SESS0178,STN182,SESS0178,USR8889,2W,205.64,1033.55,99,205.64,18.216644,72.877747,6,7.4,2022
AC Fast,12-10-2022 19:37,12-10-2022 17:27,Hyderabad,02-01-2022,October,Active,Net Banking,SESS0001,STN197,SESS0001,USR9020,4W,230.46,1358.12,130,230.46,18.04427,76.567364,4,120,2022
AC Fast,21-12-2022 09:24,21-12-2022 07:32,Hyderabad,15-08-2021,December,Inactive,Wallet,SESS0059,STN117,SESS0059,USR6621,3W,299.38,2998.1,112,299.38,18.940129,76.535873,4,7.4,2022
AC Slow,25-02-2022 18:20,25-02-2022 17:22,Hyderabad,15-04-2023,February,Inactive,Wallet,SESS0071,STN191,SESS0071,USR1556,Bus,215.75,1800.99,58,215.75,17.15818,72.894879,4,3.3,2022
AC Slow,24-05-2022 21:10,24-05-2022 19:52,Pune,26-05-2021,May,Inactive,Net Banking,SESS0084,STN129,SESS0084,USR6867,2W,227.71,2433.33,78,227.71,18.193453,77.770719,3,3.3,2022
AC Fast,27-08-2022 15:22,27-08-2022 14:13,Bangalore,11-04-2021,August,Active,Credit Card,SESS0243,STN162,SESS0243,USR8892,4W,225.84,2039.83,69,225.84,17.032622,77.072344,6,120,2022
AC Slow,26-04-2022 22:02,26-04-2022 19:07,Delhi,09-02-2023,April,Active,Net Banking,SESS0035,STN119,SESS0035,USR2745,Bus,242.92,2375.48,175,242.92,17.956643,74.460684,5,7.4,2022
AC Slow,14-05-2022 19:07,14-05-2022 17:34,Mumbai,19-08-2022,May,Inactive,Credit Card,SESS0074,STN128,SESS0074,USR3941,Bus,177.46,1115.45,93,177.46,18.212123,76.202343,2,3.3,2022
AC Slow,08-01-2022 04:51,08-01-2022 03:30,Pune,03-07-2022,January,Inactive,Net Banking,SESS0130,STN149,SESS0130,USR7967,Bus,124.64,1347.18,81,124.64,17.337286,76.449238,6,7.4,2022
AC Fast,22-10-2022 14:56,22-10-2022 13:42,Hyderabad,02-01-2022,October,Active,Net Banking,SESS0001,STN197,SESS0001,USR9020,4W,23.85,276.69,74,23.85,18.04427,76.567364,4,120,2022
AC Slow,07-10-2022 14:44,07-10-2022 14:09,Mumbai,22-06-2021,October,Active,Credit Card,SESS0079,STN198,SESS0079,USR2397,Bus,80.27,857.38,35,80.27,17.018817,76.403458,6,15,2022
DC Fast,02-12-2022 12:41,02-12-2022 11:43,Pune,15-08-2021,December,Inactive,Wallet,SESS0193,STN127,SESS0193,USR6093,4W,86.17,950.28,58,86.17,18.736881,76.723466,5,120,2022
DC Fast,03-12-2022 23:09,03-12-2022 22:25,Delhi,07-02-2022,December,Inactive,UPI,SESS0191,STN156,SESS0191,USR2992,4W,175.79,1098.14,44,175.79,18.654163,73.243368,2,50,2022
DC Fast,12-01-2022 16:18,12-01-2022 15:46,Bangalore,10-05-2023,January,Inactive,Net Banking,SESS0143,STN116,SESS0143,USR5802,2W,212.67,1842.51,32,212.67,17.930564,74.737704,5,3.3,2022
AC Slow,07-11-2022 18:31,07-11-2022 17:13,Delhi,19-01-2023,November,Inactive,Net Banking,SESS0060,STN187,SESS0060,USR4146,2W,40.63,282.21,78,40.63,18.664971,75.17812,3,7.4,2022
AC Slow,22-04-2022 10:49,22-04-2022 09:49,Delhi,06-01-2022,April,Inactive,Wallet,SESS0178,STN182,SESS0178,USR8889,2W,114.82,857.21,60,114.82,18.216644,72.877747,6,7.4,2022
DC Fast,08-03-2022 21:59,08-03-2022 19:14,Mumbai,18-04-2021,March,Inactive,Net Banking,SESS0205,STN113,SESS0205,USR5663,Bus,100.1,888.54,165,100.1,17.237995,73.96413,5,50,2022
DC Fast,01-07-2022 18:41,01-07-2022 17:19,Bangalore,09-07-2023,July,Inactive,Net Banking,SESS0282,STN116,SESS0282,USR7169,2W,275.68,2367.01,82,275.68,18.975783,74.890174,2,7.4,2022
AC Slow,05-09-2022 03:55,05-09-2022 02:04,Hyderabad,11-01-2023,September,Active,Credit Card,SESS0253,STN140,SESS0253,USR3763,3W,65.44,425.38,111,65.44,17.600659,72.365297,2,7.4,2022
AC Fast,12-05-2022 00:43,11-05-2022 22:54,Pune,30-12-2021,May,Inactive,UPI,SESS0296,STN141,SESS0296,USR7847,2W,104.77,912.97,109,104.77,17.8312,75.302973,6,3.3,2022
AC Slow,22-10-2022 09:03,22-10-2022 06:38,Mumbai,22-06-2021,October,Active,Credit Card,SESS0079,STN198,SESS0079,USR2397,Bus,99.38,442.81,145,99.38,17.018817,76.403458,6,15,2022
AC Slow,16-05-2022 02:10,15-05-2022 23:10,Bangalore,04-07-2021,May,Active,UPI,SESS0156,STN165,SESS0156,USR7198,4W,176.7,1978.48,180,176.7,17.404517,77.311609,2,7.4,2022
DC Fast,17-11-2022 00:44,16-11-2022 22:59,Pune,15-02-2021,November,Active,Net Banking,SESS0242,STN184,SESS0242,USR3702,4W,266.76,2137.35,105,266.76,18.477661,76.670402,4,15,2022
DC Fast,03-06-2022 17:27,03-06-2022 15:54,Mumbai,07-08-2023,June,Active,Credit Card,SESS0162,STN103,SESS0162,USR7325,2W,16.95,147.36,93,16.95,18.541421,76.914501,2,120,2022
AC Slow,20-03-2022 04:53,20-03-2022 02:12,Hyderabad,04-06-2023,March,Active,Wallet,SESS0016,STN196,SESS0016,USR9821,4W,83.21,334.12,161,83.21,18.63076,77.089782,6,15,2022
DC Fast,22-04-2022 13:16,22-04-2022 11:41,Mumbai,23-09-2021,April,Active,Credit Card,SESS0120,STN137,SESS0120,USR1094,4W,163.16,1335.72,95,163.16,18.598676,75.907903,5,50,2022
AC Fast,26-02-2022 17:55,26-02-2022 17:20,Bangalore,18-02-2022,February,Inactive,UPI,SESS0186,STN147,SESS0186,USR7838,3W,84.73,956.81,35,84.73,17.718084,75.681639,6,15,2022
AC Slow,06-10-2022 18:12,06-10-2022 16:00,Mumbai,28-01-2023,October,Active,UPI,SESS0077,STN170,SESS0077,USR1015,2W,140.57,1499.08,132,140.57,17.44242,73.313681,5,15,2022
AC Slow,06-03-2022 01:32,05-03-2022 22:49,Mumbai,20-07-2022,March,Inactive,Wallet,SESS0210,STN175,SESS0210,USR5969,3W,15.82,127.14,163,15.82,17.830808,77.606566,6,120,2022
DC Fast,07-09-2022 09:31,07-09-2022 08:19,Hyderabad,19-01-2022,September,Inactive,UPI,SESS0260,STN185,SESS0260,USR1772,Bus,258.13,1876.17,72,258.13,18.109777,72.210033,5,15,2022
AC Fast,15-03-2022 13:09,15-03-2022 10:16,Hyderabad,03-12-2021,March,Inactive,UPI,SESS0114,STN109,SESS0114,USR1663,3W,107.44,1209.78,173,107.44,17.702601,76.363986,2,120,2022
AC Slow,04-08-2022 08:50,04-08-2022 07:34,Bangalore,01-09-2021,August,Active,UPI,SESS0289,STN169,SESS0289,USR8480,4W,264.03,2787.11,76,264.03,18.532724,76.197534,2,50,2022
AC Slow,27-09-2022 16:11,27-09-2022 14:54,Pune,17-07-2022,September,Inactive,Net Banking,SESS0138,STN135,SESS0138,USR1629,3W,137.7,1310.68,77,137.7,17.098494,73.872654,3,3.3,2022
AC Fast,04-03-2022 15:55,04-03-2022 13:52,Delhi,16-08-2022,March,Active,Net Banking,SESS0051,STN111,SESS0051,USR3953,3W,168.08,1117.82,123,168.08,17.836812,75.514556,6,50,2022
DC Fast,21-02-2022 06:16,21-02-2022 05:21,Hyderabad,15-12-2022,February,Active,Credit Card,SESS0157,STN117,SESS0157,USR4716,3W,206.4,2267.19,55,206.4,17.70102,77.055793,4,3.3,2022
DC Fast,04-01-2022 03:39,04-01-2022 02:48,Hyderabad,04-02-2022,January,Inactive,Net Banking,SESS0054,STN107,SESS0054,USR1591,Bus,211.2,2215.12,51,211.2,18.088254,76.395947,4,50,2022
AC Fast,24-11-2022 06:51,24-11-2022 04:53,Delhi,03-02-2023,November,Active,UPI,SESS0161,STN107,SESS0161,USR3472,Bus,298.04,3517.93,118,298.04,18.075733,74.977909,2,50,2022
AC Fast,07-11-2022 17:03,07-11-2022 16:21,Hyderabad,06-11-2021,November,Active,Wallet,SESS0250,STN126,SESS0250,USR5357,Bus,129.91,1257.64,42,129.91,17.730092,76.390867,3,50,2022
AC Slow,08-04-2022 16:44,08-04-2022 13:56,Mumbai,10-05-2023,April,Inactive,Net Banking,SESS0247,STN100,SESS0247,USR1272,3W,208.58,2366.36,168,208.58,17.617092,75.034679,6,120,2022
AC Slow,19-09-2022 09:45,19-09-2022 08:52,Hyderabad,07-02-2023,September,Active,UPI,SESS0203,STN106,SESS0203,USR3685,2W,41.34,269.61,53,41.34,17.379187,75.360614,6,7.4,2022
AC Fast,28-05-2022 13:21,28-05-2022 12:20,Bangalore,13-07-2022,May,Active,Credit Card,SESS0029,STN189,SESS0029,USR6808,3W,209.6,1695.06,61,209.6,17.351385,76.231562,5,7.4,2022
DC Fast,04-05-2022 02:27,03-05-2022 23:35,Mumbai,05-04-2021,May,Active,UPI,SESS0003,STN172,SESS0003,USR5336,2W,65.21,499.7,172,65.21,17.540715,76.918699,4,15,2022
AC Slow,09-03-2022 11:47,09-03-2022 09:02,Hyderabad,24-08-2022,March,Inactive,Credit Card,SESS0277,STN142,SESS0277,USR6015,3W,74.32,748.36,165,74.32,18.967836,74.189023,3,15,2022
AC Fast,10-10-2022 13:16,10-10-2022 12:04,Bangalore,18-02-2022,October,Inactive,UPI,SESS0186,STN147,SESS0186,USR7838,3W,101.05,1043.88,72,101.05,17.718084,75.681639,6,15,2022
AC Slow,11-11-2022 10:39,11-11-2022 07:57,Bangalore,23-05-2022,November,Inactive,UPI,SESS0032,STN144,SESS0032,USR2694,4W,14.78,63.53,162,14.78,18.746438,74.557522,4,15,2022
AC Fast,19-05-2022 16:12,19-05-2022 15:01,Hyderabad,03-12-2021,May,Inactive,UPI,SESS0114,STN109,SESS0114,USR1663,3W,195.47,1754.97,71,195.47,17.702601,76.363986,2,120,2022
AC Fast,14-05-2022 18:38,14-05-2022 15:59,Bangalore,04-09-2021,May,Active,Wallet,SESS0142,STN114,SESS0142,USR3705,3W,176.59,1964.51,159,176.59,18.25438,73.939095,5,7.4,2022
DC Fast,04-06-2022 08:11,04-06-2022 05:38,Pune,13-06-2022,June,Active,Net Banking,SESS0281,STN111,SESS0281,USR5497,2W,110.3,978.73,153,110.3,17.707493,77.221988,2,3.3,2022
AC Slow,07-10-2022 21:17,07-10-2022 19:08,Hyderabad,15-04-2023,October,Inactive,Wallet,SESS0071,STN191,SESS0071,USR1556,Bus,116.16,818.13,129,116.16,17.15818,72.894879,4,3.3,2022
DC Fast,02-06-2022 16:31,02-06-2022 14:30,Bangalore,07-03-2023,June,Inactive,Net Banking,SESS0076,STN107,SESS0076,USR9253,4W,155.03,1124.02,121,155.03,17.25272,73.574214,5,15,2022
DC Fast,08-12-2022 23:27,08-12-2022 22:10,Delhi,29-06-2022,December,Active,UPI,SESS0299,STN171,SESS0299,USR5890,4W,154.21,1153.43,77,154.21,18.055698,77.227152,6,120,2022
AC Fast,25-05-2022 00:51,24-05-2022 23:13,Bangalore,15-02-2022,May,Active,UPI,SESS0232,STN134,SESS0232,USR7101,Bus,298.74,1481.64,98,298.74,18.566139,73.676062,5,120,2022
DC Fast,26-04-2022 09:50,26-04-2022 07:11,Bangalore,22-12-2022,April,Active,Credit Card,SESS0192,STN189,SESS0192,USR7353,4W,194.16,2301.23,159,194.16,18.193639,77.604791,2,120,2022
DC Fast,31-08-2022 06:52,31-08-2022 05:51,Pune,15-02-2021,August,Active,Net Banking,SESS0242,STN184,SESS0242,USR3702,4W,32.03,197.39,61,32.03,18.477661,76.670402,4,15,2022
AC Slow,19-03-2022 02:21,18-03-2022 23:48,Hyderabad,28-01-2021,March,Inactive,Wallet,SESS0223,STN177,SESS0223,USR3816,Bus,23.65,109.73,153,23.65,17.941537,75.090467,6,15,2022
DC Fast,04-01-2022 08:20,04-01-2022 05:24,Hyderabad,27-01-2022,January,Active,Credit Card,SESS0182,STN156,SESS0182,USR2093,3W,39.92,229.67,176,39.92,18.435727,72.607434,2,120,2022
AC Slow,18-08-2022 21:52,18-08-2022 20:42,Bangalore,17-07-2021,August,Active,Wallet,SESS0037,STN118,SESS0037,USR8721,2W,188.3,1907.94,70,188.3,18.136116,74.611849,2,15,2022
AC Fast,13-05-2022 11:03,13-05-2022 09:20,Pune,30-08-2021,May,Active,Credit Card,SESS0264,STN188,SESS0264,USR8750,4W,281.1,2485.2,103,281.1,17.800767,73.619519,3,50,2022
DC Fast,17-02-2022 02:26,17-02-2022 00:39,Hyderabad,19-01-2022,February,Inactive,UPI,SESS0260,STN185,SESS0260,USR1772,Bus,164.87,1310.73,107,164.87,18.109777,72.210033,5,15,2022
